carat	cut	color	clarity	depth	table	x	y	z
0.51	Ideal	E	VS2	62.4	57.0	5.1	5.13	3.19
0.32	Ideal	D	VVS1	62.1	54.0	4.43	4.4	2.74
0.33	Premium	G	VS1	60.1	61.0	4.48	4.44	2.68
1.73	Premium	F	VS2	61.2	58.0	7.76	7.69	4.73
1.71	Ideal	G	VS1	62.2	55.0	7.72	7.65	4.78
0.32	Ideal	F	VS2	62.2	55.0	4.37	4.35	2.71
0.38	Very Good	G	VVS1	61.3	57.0	4.62	4.68	2.85
0.39	Ideal	G	VS1	62.6	55.0	4.69	4.66	2.93
0.3	Ideal	H	VVS2	61.5	56.0	4.33	4.35	2.67
1.68	Ideal	H	VS2	61.3	56.0	7.77	7.67	4.73
1.01	Good	I	SI1	63.6	55.0	6.39	6.31	4.04
0.5	Premium	J	SI1	60.7	58.0	5.13	5.11	3.11
0.3	Good	G	VS2	63.5	54.0	4.25	4.28	2.71
0.36	Ideal	G	VS1	61.5	58.0	4.59	4.61	2.83
1.51	Very Good	G	VS2	59.3	58.0	7.32	7.49	4.39
1.0	Very Good	E	SI1	63.3	57.0	6.28	6.32	3.99
0.32	Ideal	F	IF	61.2	57.0	4.4	4.42	2.7
0.33	Ideal	E	VS1	59.6	56.0	4.49	4.54	2.69
2.0	Premium	G	SI2	60.8	55.0	8.09	7.95	4.88
0.43	Premium	F	VS2	61.1	57.0	4.9	4.86	2.98
1.19	Premium	J	SI1	63.0	54.0	6.82	6.74	4.27
0.51	Ideal	D	VVS1	61.7	56.0	5.12	5.16	3.17
0.7	Ideal	G	VS1	60.9	56.0	5.76	5.8	3.52
1.33	Ideal	J	VS1	62.5	58.0	6.99	7.03	4.38
0.52	Very Good	H	VS2	63.5	58.0	5.12	5.11	3.25
0.91	Premium	G	SI1	61.8	60.0	6.21	6.18	3.83
0.9	Very Good	I	SI1	62.3	56.0	6.12	6.18	3.83
0.9	Ideal	J	VS2	62.5	57.0	6.16	6.26	3.88
0.72	Ideal	F	VS1	61.4	56.0	5.75	5.79	3.54
0.91	Very Good	F	SI1	62.2	57.0	6.19	6.25	3.87
0.51	Ideal	E	SI1	61.5	55.0	5.16	5.18	3.18
1.51	Very Good	F	VVS1	62.6	59.0	7.33	7.24	4.56
1.25	Ideal	J	VS2	62.6	54.0	6.94	6.9	4.33
0.45	Fair	F	SI1	66.8	59.0	4.79	4.63	3.16
0.3	Ideal	F	VS2	61.6	57.0	4.28	4.32	2.65
1.03	Ideal	H	SI2	60.6	56.0	6.53	6.63	3.99
0.7	Very Good	G	SI2	63.3	57.0	5.61	5.51	3.52
0.35	Ideal	D	SI1	62.3	55.0	4.51	4.54	2.82
2.33	Ideal	I	VS2	62.0	57.0	8.52	8.45	5.26
2.13	Ideal	J	VS2	62.1	55.0	8.23	8.29	5.13
0.39	Ideal	G	SI2	61.2	56.0	4.71	4.73	2.89
0.81	Ideal	H	VS1	61.8	58.0	5.97	6.04	3.71
0.33	Ideal	D	VVS2	60.3	57.0	4.52	4.47	2.71
1.03	Fair	H	SI2	66.3	57.0	6.35	6.25	4.18
0.53	Ideal	F	SI2	61.7	56.0	5.23	5.24	3.23
0.31	Very Good	G	VS2	58.8	62.0	4.4	4.41	2.59
0.31	Very Good	G	VS2	60.9	57.0	4.37	4.39	2.67
0.77	Ideal	D	VS1	62.2	55.0	5.85	5.88	3.65
1.8	Ideal	H	VS1	62.3	56.0	7.79	7.76	4.84
0.91	Premium	F	SI2	58.9	61.0	6.36	6.33	3.74
0.8	Very Good	F	SI1	63.5	58.0	5.89	5.85	3.73
0.55	Ideal	G	VVS2	60.8	56.9	5.27	5.31	3.22
1.2	Very Good	I	VS1	62.4	56.0	6.78	6.74	4.22
0.43	Ideal	H	IF	61.9	55.0	4.87	4.89	3.02
0.7	Very Good	G	VS1	62.8	57.0	5.63	5.68	3.55
0.37	Ideal	E	VS2	61.9	53.0	4.62	4.65	2.87
0.41	Premium	F	VS1	60.8	58.0	4.82	4.76	2.91
0.55	Ideal	I	VVS1	61.7	56.0	5.24	5.29	3.25
0.31	Ideal	E	VVS1	60.5	57.0	4.38	4.41	2.66
0.9	Premium	E	VS2	61.4	57.0	6.19	6.16	3.79
0.9	Ideal	I	SI1	62.0	56.0	6.16	6.23	3.84
0.5	Ideal	D	VVS2	60.7	57.0	5.2	5.15	3.14
0.55	Very Good	E	SI1	61.0	61.0	5.25	5.3	3.22
0.9	Good	H	VS1	64.0	59.0	6.05	6.01	3.86
1.51	Premium	G	VS1	59.5	59.0	7.45	7.41	4.42
0.32	Ideal	I	VS1	60.9	56.7	4.41	4.44	2.69
1.0	Premium	F	VVS2	60.6	54.0	6.56	6.52	3.96
1.24	Ideal	G	VVS2	61.4	58.0	6.88	6.92	4.24
0.91	Premium	H	SI1	60.2	52.0	6.27	6.15	3.74
0.31	Ideal	G	IF	61.0	57.0	4.36	4.39	2.67
0.44	Good	D	VS2	63.6	56.0	4.81	4.84	3.07
0.53	Ideal	E	VVS2	62.0	58.0	5.16	5.2	3.21
0.31	Premium	G	SI1	61.4	58.0	4.35	4.31	2.66
1.0	Premium	F	SI1	59.4	62.0	6.55	6.52	3.88
0.54	Ideal	E	SI2	60.4	57.0	5.33	5.27	3.2
0.51	Ideal	H	IF	59.6	59.0	5.2	5.24	3.11
0.43	Ideal	F	VVS2	62.2	55.0	4.83	4.85	3.01
1.03	Ideal	F	SI2	61.9	56.0	6.47	6.43	3.99
0.7	Fair	D	SI2	67.8	58.0	5.51	5.44	3.71
0.34	Premium	F	VS2	60.7	60.0	4.46	4.5	2.72
0.42	Premium	F	SI1	60.6	61.0	4.87	4.83	2.94
0.9	Very Good	G	VS2	60.5	60.0	6.2	6.24	3.76
0.32	Ideal	E	VS2	61.4	57.0	4.46	4.4	2.72
1.5	Ideal	G	SI1	61.0	57.0	7.38	7.41	4.51
0.32	Premium	G	IF	62.0	60.0	4.41	4.37	2.72
1.0	Good	I	VS2	62.6	59.0	6.28	6.33	3.95
0.62	Premium	E	SI2	60.7	58.0	5.53	5.51	3.35
0.52	Premium	E	SI2	61.1	57.0	5.23	5.12	3.16
1.0	Fair	G	SI2	70.2	58.0	6.0	5.73	4.13
1.01	Very Good	E	VS2	61.7	56.0	6.41	6.45	3.97
1.12	Ideal	J	SI2	62.5	57.0	6.63	6.59	4.13
0.51	Very Good	G	VVS2	63.1	58.0	5.11	5.07	3.21
0.39	Good	I	VS1	63.1	58.0	4.68	4.61	2.93
2.03	Premium	G	VS2	60.9	59.0	8.17	8.14	4.97
0.7	Very Good	J	SI2	63.2	60.0	5.58	5.62	3.54
1.51	Premium	H	VS2	61.2	59.0	7.4	7.38	4.52
0.54	Ideal	E	VS2	61.0	56.0	5.28	5.25	3.21
1.65	Ideal	J	SI1	62.5	56.0	7.59	7.54	4.73
2.0	Good	G	SI2	64.3	56.0	7.93	7.89	5.09
1.04	Ideal	H	VS2	61.0	57.0	6.56	6.53	3.99
0.51	Ideal	D	VS1	61.9	57.0	5.17	5.14	3.19
0.7	Premium	H	I1	60.0	59.0	5.8	5.77	3.47
0.39	Premium	J	VS1	61.0	62.0	4.71	4.66	2.86
0.7	Very Good	G	SI1	62.1	58.0	5.66	5.7	3.53
0.38	Ideal	D	VS1	62.0	57.0	4.69	4.7	2.91
1.04	Ideal	E	SI2	62.0	55.0	6.51	6.48	4.03
1.05	Ideal	F	VS2	59.1	57.0	6.67	6.66	3.94
0.57	Ideal	G	VS1	61.3	56.0	5.34	5.36	3.28
0.32	Ideal	G	VS1	62.4	56.0	4.37	4.38	2.73
0.43	Premium	F	VS2	61.0	57.0	4.87	4.84	2.96
1.04	Very Good	G	IF	61.7	58.0	6.47	6.6	4.03
0.71	Very Good	H	VS1	62.6	58.0	5.72	5.75	3.59
0.9	Ideal	F	SI1	62.4	56.0	6.22	6.18	3.87
0.38	Ideal	D	VVS1	61.3	56.0	4.65	4.71	2.87
0.73	Ideal	G	SI2	61.1	57.0	5.8	5.82	3.55
0.6	Good	F	SI1	63.7	61.0	5.24	5.21	3.33
1.0	Very Good	E	IF	62.5	55.0	6.28	6.39	3.96
0.31	Premium	G	VVS1	62.1	59.0	4.35	4.32	2.69
0.38	Ideal	H	VVS2	62.2	54.6	4.62	4.66	2.89
0.76	Fair	H	I1	64.5	57.0	5.79	5.76	3.73
0.77	Ideal	F	VS1	61.9	54.0	5.91	5.94	3.66
0.26	Very Good	E	VVS1	61.4	55.0	4.12	4.16	2.54
2.26	Premium	H	SI1	60.3	58.0	8.56	8.51	5.15
1.51	Fair	I	I1	65.7	61.0	7.08	7.02	4.63
1.5	Premium	E	VS2	61.8	59.0	7.38	7.31	4.54
1.13	Very Good	E	SI2	63.4	59.0	6.53	6.59	4.16
0.7	Premium	G	VS2	62.2	61.0	5.59	5.54	3.46
1.1	Good	D	SI2	57.0	62.0	6.91	6.84	3.92
0.7	Premium	J	SI1	62.8	59.0	5.65	5.6	3.53
1.22	Premium	G	SI2	61.6	62.0	6.79	6.75	4.17
1.0	Good	E	SI2	61.0	61.0	6.37	6.44	3.91
1.5	Good	F	I1	63.7	59.0	7.29	7.18	4.62
1.61	Premium	J	VS2	61.7	59.0	7.51	7.46	4.62
0.31	Premium	F	VS2	61.3	59.0	4.31	4.34	2.65
1.14	Premium	F	SI2	62.9	59.0	6.64	6.62	4.17
1.0	Very Good	E	SI2	62.6	58.0	6.33	6.39	3.98
1.59	Premium	J	SI1	62.5	60.0	7.46	7.42	4.65
0.33	Ideal	G	IF	62.7	56.0	4.39	4.44	2.77
0.34	Ideal	I	SI1	60.2	57.0	4.54	4.5	2.72
0.31	Ideal	E	VVS2	61.4	57.0	4.37	4.39	2.69
0.3	Good	D	VS2	63.1	58.0	4.26	4.3	2.7
0.51	Good	H	SI2	56.7	60.0	5.38	5.35	3.04
0.76	Premium	G	SI2	58.8	59.0	5.97	5.93	3.5
0.4	Ideal	E	VS2	62.4	56.0	4.74	4.71	2.95
0.57	Ideal	E	SI1	61.9	56.0	5.35	5.32	3.3
1.28	Ideal	G	SI2	61.8	56.0	6.95	6.99	4.31
0.23	Very Good	E	IF	59.9	58.0	3.98	4.03	2.4
1.71	Premium	I	VS2	62.4	61.0	7.67	7.59	4.76
1.31	Ideal	G	VVS1	61.1	57.0	7.06	7.01	4.3
0.56	Premium	I	VVS1	60.6	59.0	5.29	5.33	3.22
1.0	Good	F	IF	60.7	64.0	6.42	6.4	3.89
0.33	Ideal	G	VVS1	62.0	56.0	4.45	4.48	2.77
0.52	Ideal	D	VVS2	61.4	56.0	5.23	5.2	3.2
0.37	Ideal	G	VS2	60.5	56.0	4.65	4.68	2.82
0.3	Ideal	F	VS2	62.3	58.0	4.26	4.23	2.64
2.01	Premium	I	VS2	61.1	60.0	8.12	8.06	4.94
0.71	Ideal	E	SI1	61.1	57.0	5.75	5.77	3.52
0.5	Good	G	VVS2	63.8	56.0	5.03	5.06	3.22
1.0	Very Good	E	VVS2	61.0	62.0	6.4	6.46	3.92
0.72	Ideal	J	VS1	62.7	57.0	5.74	5.71	3.59
0.31	Ideal	D	SI1	61.2	57.0	4.38	4.34	2.67
1.68	Ideal	E	SI2	60.4	55.0	7.7	7.79	4.68
0.54	Premium	G	VS2	62.7	58.0	5.19	5.15	3.24
1.07	Ideal	F	SI2	61.6	57.0	6.56	6.53	4.03
2.29	Premium	G	SI2	62.4	60.0	8.41	8.36	5.23
1.04	Premium	F	VS2	60.1	59.0	6.61	6.56	3.96
1.5	Premium	E	SI2	63.0	59.0	7.24	7.18	4.54
1.5	Good	E	SI2	63.3	57.0	7.31	7.33	4.63
0.31	Good	I	VS1	63.8	56.0	4.32	4.27	2.74
1.3	Fair	J	SI1	66.0	57.1	6.73	6.82	4.45
0.3	Ideal	I	VVS1	62.1	56.0	4.3	4.33	2.68
0.76	Ideal	E	SI1	61.3	55.0	5.87	5.91	3.61
0.43	Premium	G	VVS1	62.2	58.0	4.78	4.83	2.99
1.02	Good	H	SI2	60.3	63.0	6.45	6.49	3.9
0.36	Ideal	E	SI1	62.1	56.0	4.59	4.56	2.84
0.34	Ideal	G	VS1	61.4	56.0	4.52	4.54	2.78
0.42	Ideal	H	VVS1	61.8	55.0	4.8	4.85	2.98
0.39	Good	G	VVS1	61.6	61.0	4.71	4.74	2.91
0.37	Premium	F	VS2	61.0	58.0	4.63	4.61	2.82
1.01	Good	E	SI1	64.3	59.0	6.28	6.31	4.05
1.01	Good	E	VS2	62.5	58.0	6.32	6.36	3.96
1.0	Ideal	F	SI2	61.8	57.0	6.36	6.45	3.96
0.93	Ideal	E	SI1	59.6	57.0	6.37	6.42	3.81
1.7	Premium	D	SI1	61.9	59.0	7.64	7.61	4.72
0.38	Premium	D	VS1	62.4	59.0	4.6	4.63	2.88
0.9	Very Good	G	SI2	64.2	56.0	6.04	6.11	3.9
0.6	Very Good	F	VS2	60.8	56.0	5.45	5.48	3.32
0.3	Ideal	J	VVS2	62.3	58.0	4.26	4.28	2.66
1.22	Premium	G	VS2	61.8	58.0	6.84	6.91	4.25
0.39	Very Good	F	VS2	60.1	56.0	4.77	4.82	2.88
0.3	Ideal	G	VS1	62.9	57.0	4.31	4.28	2.7
1.01	Good	F	VVS1	63.2	56.0	6.33	6.39	4.02
2.09	Very Good	F	SI2	60.2	61.0	8.32	8.29	5.0
1.0	Very Good	G	VVS2	59.5	61.0	6.42	6.46	3.83
0.51	Ideal	G	SI2	61.3	55.0	5.17	5.19	3.17
0.53	Ideal	E	VS2	61.9	56.0	5.21	5.19	3.22
0.48	Very Good	D	IF	60.6	55.0	5.08	5.12	3.09
2.0	Very Good	H	SI1	60.9	58.0	8.07	8.15	4.94
1.04	Good	F	SI1	63.4	59.0	6.4	6.44	4.07
0.51	Ideal	D	SI1	62.6	57.0	5.11	5.08	3.19
1.03	Ideal	F	I1	61.1	55.0	6.51	6.54	3.99
0.71	Very Good	H	SI1	61.2	56.0	5.69	5.72	3.49
0.91	Good	E	I1	57.7	63.0	6.3	6.35	3.65
1.09	Very Good	G	SI1	60.2	60.0	6.66	6.7	4.02
1.01	Premium	G	VS2	59.2	59.0	6.59	6.52	3.88
1.22	Premium	J	SI2	62.1	59.0	6.82	6.77	4.22
0.41	Good	F	SI1	63.1	59.0	4.7	4.75	2.98
0.31	Very Good	G	VS2	61.0	56.0	4.35	4.37	2.66
0.71	Premium	G	VS1	60.9	58.0	5.77	5.73	3.5
0.41	Ideal	F	SI1	61.6	57.0	4.78	4.8	2.95
1.04	Premium	G	VS2	62.2	58.0	6.49	6.4	4.01
0.36	Ideal	F	SI1	61.5	57.0	4.59	4.55	2.81
1.0	Fair	F	SI2	65.7	61.0	6.13	6.11	4.02
2.01	Fair	E	SI2	62.1	66.0	7.99	7.92	4.94
1.1	Ideal	F	VS1	61.5	56.0	6.63	6.66	4.09
1.71	Premium	H	VS1	62.1	59.0	7.63	7.55	4.71
0.3	Very Good	E	VS2	61.5	58.0	4.28	4.31	2.64
0.9	Good	G	SI1	63.7	58.0	6.09	6.12	3.89
0.25	Very Good	F	VVS1	62.9	55.0	4.04	4.06	2.55
0.35	Ideal	D	VS2	62.3	55.0	4.52	4.54	2.82
1.01	Very Good	F	SI2	62.4	58.0	6.37	6.41	3.99
0.3	Very Good	F	VS2	62.9	57.0	4.26	4.29	2.69
0.54	Ideal	G	VS1	61.3	57.0	5.25	5.28	3.23
1.57	Premium	H	VS2	61.0	59.0	7.54	7.5	4.59
0.27	Ideal	H	VS1	62.3	54.0	4.16	4.19	2.6
0.43	Ideal	I	VVS1	60.6	57.0	4.88	4.94	2.97
0.3	Very Good	D	VS2	62.8	57.0	4.29	4.31	2.7
1.2	Very Good	F	VVS2	63.8	58.0	6.67	6.69	4.26
0.4	Premium	D	SI2	63.0	59.0	4.69	4.64	2.94
0.51	Ideal	E	SI1	62.4	55.0	5.09	5.14	3.19
0.71	Premium	D	VS2	62.1	60.0	5.72	5.68	3.54
0.3	Premium	I	VS1	60.8	59.0	4.32	4.3	2.62
1.01	Very Good	G	VS1	63.5	59.0	6.36	6.31	4.02
0.32	Ideal	J	SI1	61.8	54.9	4.39	4.42	2.72
2.2	Ideal	H	SI2	60.0	58.0	8.47	8.5	5.09
0.7	Premium	F	SI2	61.6	60.0	5.78	5.68	3.53
0.77	Ideal	G	VS2	62.1	56.0	5.85	5.88	3.64
1.01	Good	F	VS2	63.1	59.0	6.31	6.37	4.0
0.5	Ideal	I	SI2	62.2	53.0	5.11	5.14	3.19
0.5	Ideal	E	SI2	62.4	57.0	5.07	5.03	3.15
1.21	Ideal	J	VS2	59.6	57.0	6.98	6.94	4.15
2.0	Premium	F	SI1	58.8	61.0	8.29	8.23	4.86
1.35	Premium	J	SI1	61.1	61.0	7.13	7.1	4.35
1.02	Premium	G	SI1	62.3	59.0	6.44	6.4	4.0
1.02	Very Good	F	VVS1	62.4	58.0	6.38	6.41	3.99
0.31	Ideal	H	SI1	61.5	56.5	4.34	4.36	2.67
0.39	Ideal	E	VVS1	60.8	58.0	4.72	4.76	2.88
1.2	Ideal	I	VS1	62.1	56.5	6.8	6.84	4.23
1.01	Very Good	F	SI1	62.7	56.0	6.37	6.39	4.0
0.43	Premium	F	SI1	60.6	59.0	4.87	4.84	2.94
1.0	Ideal	G	VS1	62.9	57.0	6.36	6.32	3.99
2.03	Ideal	G	SI1	62.0	57.0	8.1	8.05	5.01
1.01	Good	G	VS1	63.8	57.0	6.38	6.35	4.06
0.79	Ideal	D	SI1	61.2	57.0	5.94	5.98	3.65
1.51	Premium	D	SI2	63.0	62.0	7.28	7.23	4.57
0.91	Very Good	E	SI2	60.5	59.0	6.26	6.34	3.81
0.3	Premium	F	VS2	61.6	58.0	4.29	4.31	2.65
0.56	Good	D	SI2	63.2	54.0	5.24	5.26	3.32
1.2	Ideal	H	SI1	62.2	58.0	6.81	6.77	4.22
0.36	Very Good	F	VS2	63.1	57.0	4.53	4.51	2.85
1.5	Good	G	SI1	63.7	59.0	7.19	7.23	4.59
0.41	Very Good	H	VS2	63.4	58.0	4.77	4.66	2.99
0.72	Ideal	I	VVS2	61.6	57.0	5.73	5.76	3.54
0.35	Premium	H	VS1	62.6	58.0	4.52	4.49	2.82
1.2	Good	E	SI2	63.3	55.0	6.73	6.77	4.27
0.31	Good	H	VS1	64.0	59.0	4.28	4.25	2.73
0.9	Premium	H	VVS1	62.3	59.0	6.15	6.09	3.81
0.72	Good	F	SI1	63.9	62.0	5.7	5.63	3.62
0.32	Very Good	H	VS1	63.0	57.0	4.37	4.39	2.76
1.03	Very Good	E	SI2	60.7	63.0	6.48	6.44	3.92
0.7	Very Good	J	VS2	63.3	58.0	5.61	5.63	3.56
0.9	Premium	I	SI1	63.0	60.0	6.08	5.99	3.8
1.01	Ideal	E	VS1	60.4	59.0	6.52	6.5	3.93
0.42	Very Good	E	SI1	62.8	59.0	4.74	4.78	2.99
1.51	Ideal	E	SI2	60.5	57.0	7.38	7.42	4.48
0.91	Premium	H	SI1	60.9	58.0	6.26	6.22	3.8
2.1	Very Good	J	VS2	61.3	59.0	8.21	8.27	5.05
0.3	Premium	D	VS1	60.2	59.0	4.39	4.42	2.65
1.58	Ideal	J	VVS1	61.5	56.0	7.48	7.5	4.61
0.72	Good	G	SI2	63.7	59.0	5.74	5.65	3.63
1.01	Premium	D	VS1	60.0	58.0	6.6	6.54	3.94
0.9	Good	I	SI2	60.7	58.0	6.17	6.21	3.76
0.32	Very Good	F	VS2	61.1	58.0	4.39	4.42	2.69
1.05	Premium	G	VS1	61.6	58.0	6.51	6.48	4.0
0.3	Premium	I	VS1	59.8	60.0	4.36	4.34	2.6
0.9	Premium	I	VS2	61.2	62.0	6.19	6.13	3.77
0.3	Ideal	J	VVS2	62.0	54.0	4.3	4.34	2.68
1.01	Good	G	VVS2	63.2	59.0	6.27	6.35	3.99
0.3	Very Good	E	VVS2	60.0	55.0	4.36	4.41	2.63
2.08	Premium	J	VS2	60.3	59.0	8.29	8.23	4.98
1.12	Ideal	I	VS2	61.2	54.0	6.74	6.77	4.13
1.5	Very Good	E	VS2	59.4	62.0	7.4	7.48	4.42
0.58	Premium	D	VS1	61.4	58.0	5.37	5.34	3.29
0.52	Ideal	E	VS2	61.7	55.0	5.16	5.21	3.2
0.56	Ideal	H	VS1	61.8	55.0	5.29	5.33	3.28
0.74	Good	G	VS2	64.2	53.0	5.72	5.69	3.66
0.93	Good	I	VS2	58.2	60.0	6.41	6.48	3.75
0.26	Ideal	H	VS1	62.1	56.0	4.13	4.15	2.56
0.57	Very Good	D	VS2	62.5	59.0	5.28	5.32	3.31
1.12	Very Good	E	SI1	58.8	61.0	6.74	6.8	3.98
0.35	Premium	H	VVS1	60.1	62.0	4.57	4.52	2.73
0.4	Ideal	E	VS2	61.1	56.0	4.77	4.75	2.91
0.41	Ideal	H	VVS1	62.2	57.0	4.78	4.74	2.96
0.51	Ideal	E	VS2	60.9	56.0	5.2	5.15	3.15
1.09	Ideal	G	VVS2	60.6	57.0	6.62	6.7	4.05
0.38	Premium	H	SI1	59.7	60.0	4.66	4.68	2.79
0.34	Ideal	D	VS2	61.6	55.0	4.54	4.48	2.78
1.01	Good	D	VS1	62.2	62.0	6.29	6.41	3.95
0.41	Premium	F	VVS2	60.4	58.0	4.84	4.8	2.91
2.05	Very Good	I	SI2	59.8	56.0	8.32	8.41	5.0
0.3	Premium	H	VS2	63.0	59.0	4.29	4.25	2.69
1.5	Fair	F	SI2	64.7	59.0	7.13	7.05	4.59
0.55	Ideal	F	VVS2	60.7	56.0	5.31	5.34	3.23
0.3	Ideal	G	VVS1	62.7	54.0	4.3	4.34	2.71
0.56	Ideal	I	SI1	61.3	56.0	5.28	5.31	3.25
1.0	Premium	G	SI1	62.2	58.0	6.45	6.37	3.99
2.0	Very Good	J	VS1	61.0	51.6	8.14	8.18	4.97
0.52	Very Good	E	SI2	61.1	57.0	5.2	5.24	3.19
1.01	Good	E	SI2	60.2	60.0	6.37	6.42	3.85
0.55	Premium	G	SI1	62.1	56.0	5.28	5.22	3.26
0.9	Good	H	SI2	62.7	64.0	6.09	6.0	3.79
0.3	Ideal	E	VS2	62.1	55.0	4.35	4.32	2.69
1.06	Very Good	D	SI2	60.9	58.0	6.57	6.63	4.02
1.5	Ideal	I	VS1	62.0	54.0	7.32	7.38	4.56
0.57	Ideal	H	SI1	59.3	60.0	5.44	5.48	3.24
1.59	Premium	J	VS2	62.6	59.0	7.43	7.45	4.66
0.32	Ideal	E	VS2	61.7	55.0	4.42	4.36	2.71
1.11	Ideal	G	VVS2	61.8	57.0	6.67	6.64	4.11
0.76	Fair	H	VVS2	64.8	57.0	5.67	5.81	3.71
0.9	Good	E	VS2	64.0	58.0	6.07	6.02	3.87
1.24	Premium	G	VS1	62.0	55.0	6.95	6.89	4.29
0.75	Very Good	H	SI2	63.0	58.0	5.76	5.79	3.64
0.53	Ideal	H	SI1	61.0	56.0	5.23	5.26	3.2
0.74	Ideal	H	SI2	61.4	56.0	5.78	5.84	3.57
0.34	Premium	H	VS1	61.3	56.0	4.53	4.48	2.76
2.01	Premium	J	VS2	61.5	60.0	8.13	8.07	4.98
0.42	Very Good	F	SI1	63.3	56.0	4.79	4.75	3.02
0.31	Premium	E	SI1	60.1	61.0	4.4	4.35	2.63
1.24	Very Good	J	VS1	59.1	62.0	7.06	7.04	4.17
0.43	Very Good	E	SI1	63.4	56.0	4.82	4.8	3.05
0.61	Very Good	D	VS1	60.9	56.0	5.49	5.51	3.35
1.56	Good	I	VS2	57.2	62.0	7.66	7.72	4.4
1.57	Ideal	H	SI1	61.8	55.0	7.47	7.51	4.63
0.35	Very Good	G	VS1	60.7	61.0	4.54	4.58	2.77
1.51	Very Good	H	SI2	60.2	59.0	7.33	7.43	4.44
0.51	Very Good	E	SI1	62.1	60.0	5.08	5.03	3.14
0.3	Premium	D	SI1	62.3	59.0	4.25	4.22	2.64
1.12	Premium	F	SI2	60.5	59.0	6.79	6.73	4.09
1.53	Premium	G	VS1	62.6	60.0	7.39	7.3	4.6
0.41	Ideal	H	VS2	61.5	55.0	4.78	4.81	2.95
0.72	Very Good	G	SI1	63.3	53.0	5.73	5.68	3.61
0.67	Good	F	VS1	64.4	57.0	5.55	5.6	3.6
0.3	Ideal	E	VS1	62.2	53.8	4.3	4.33	2.68
1.02	Ideal	G	VS1	61.5	55.0	6.49	6.52	4.0
0.32	Ideal	F	IF	60.3	58.0	4.45	4.5	2.7
0.4	Good	G	VVS2	61.4	64.0	4.65	4.7	2.87
1.06	Premium	F	SI1	62.4	58.0	6.56	6.51	4.07
1.06	Ideal	E	VS2	61.3	57.0	6.54	6.57	4.02
0.39	Ideal	E	VS1	62.0	54.0	4.68	4.71	2.91
0.43	Ideal	F	VVS1	62.3	55.0	4.88	4.85	3.03
1.13	Very Good	H	VS2	61.7	56.0	6.65	6.73	4.13
0.32	Very Good	I	VVS2	63.0	57.0	4.33	4.37	2.74
1.12	Good	H	SI1	59.8	61.0	6.72	6.85	4.06
0.51	Very Good	E	SI1	63.0	58.0	4.99	5.08	3.17
0.32	Premium	G	VVS1	60.9	61.0	4.4	4.37	2.67
1.7	Premium	I	VS1	61.5	58.0	7.74	7.64	4.73
1.02	Very Good	F	SI1	63.7	56.0	6.34	6.41	4.06
1.91	Premium	I	SI1	60.9	53.0	8.11	8.07	4.93
0.32	Ideal	E	VS2	62.2	56.0	4.41	4.37	2.73
2.0	Fair	I	VS1	66.3	54.0	7.98	7.88	5.26
1.01	Ideal	G	SI1	62.6	56.0	6.41	6.44	4.02
0.55	Ideal	F	VS2	61.7	56.0	5.26	5.3	3.26
0.58	Ideal	F	VVS1	61.6	57.0	5.33	5.38	3.3
1.0	Very Good	F	VS1	63.7	57.0	6.33	6.35	4.04
2.09	Very Good	F	SI2	62.7	61.0	8.07	8.14	5.08
0.31	Very Good	G	VS2	63.4	59.0	4.32	4.29	2.73
0.27	Very Good	D	VVS2	62.3	57.0	4.13	4.15	2.58
1.06	Very Good	H	SI1	59.3	59.0	6.66	6.7	3.96
0.52	Very Good	G	VS1	62.4	60.0	5.11	5.12	3.19
1.05	Very Good	D	VS2	62.9	57.0	6.39	6.51	4.06
2.17	Good	H	SI2	58.9	62.0	8.48	8.52	5.01
1.51	Good	F	VS2	64.0	59.0	7.16	7.08	4.56
0.93	Good	G	SI1	63.8	58.0	6.09	6.14	3.9
0.9	Premium	F	VS1	62.7	58.0	6.14	6.17	3.86
0.4	Very Good	E	VVS1	63.8	56.0	4.68	4.72	3.0
0.51	Premium	H	VS2	60.9	60.0	5.19	5.16	3.15
0.7	Good	H	SI2	63.8	57.0	5.58	5.55	3.55
1.11	Ideal	H	SI1	62.3	55.0	6.7	6.65	4.16
2.01	Premium	H	SI2	61.5	59.0	8.12	8.08	4.98
1.11	Very Good	E	VVS1	60.2	59.0	6.67	6.79	4.05
0.3	Ideal	H	IF	61.5	58.0	4.28	4.3	2.64
0.32	Ideal	H	VS1	63.0	57.0	4.35	4.32	2.73
0.71	Ideal	H	SI2	59.4	57.0	5.87	5.81	3.47
0.4	Premium	G	SI1	59.6	61.0	4.76	4.74	2.83
0.58	Ideal	G	IF	60.9	57.0	5.39	5.46	3.3
1.13	Premium	G	SI1	60.9	58.0	6.75	6.72	4.1
0.34	Ideal	H	IF	61.8	54.0	4.51	4.55	2.8
2.16	Very Good	G	SI2	62.6	55.0	8.2	8.25	5.14
0.3	Premium	D	SI1	62.1	59.0	4.29	4.31	2.67
0.7	Very Good	I	VVS2	63.1	57.0	5.63	5.68	3.57
0.51	Very Good	E	VS1	58.1	60.0	5.28	5.32	3.08
0.4	Very Good	G	SI1	63.1	56.0	4.75	4.72	2.99
0.63	Ideal	D	IF	62.5	55.0	5.47	5.5	3.43
0.52	Ideal	F	IF	60.3	60.0	5.24	5.27	3.17
